V1,V2,V3
-0.6976880038572838,-0.4635842771842839,-0.3883725012337425
-0.09858830369612052,-0.3488772388542042,-0.3395085261959586
-0.24373227878900985,-0.48963245501675845,-0.45587818896423843
-0.5407198317817679,-0.23537117875109723,-0.25058717031885597
-0.4004920250449289,-0.23768326920752034,-0.4146038306109442
-0.4012424566240792,-0.45732353839739404,-0.22108025475849755
-0.400545775160906,-0.47577847891743436,-0.4826142113338863
-0.18396166982007625,-0.595707309813902,-0.3018479071453245
-0.04896785477101924,-0.39717914303337565,-0.3210181806657882
-0.012914320554255966,-0.3803998073331113,-0.41882633021440424
-0.2882938940011701,-0.47148228742263826,-0.4357773767488946
-0.4606282323101167,-0.1744991313332756,-0.09906039256250919
-0.2621935301803168,-0.07968649517346224,-0.13321152274159545
-0.18247398156028757,-0.47189434520206364,-0.2586902536216566
-0.07016191543378293,-0.19722810217718634,-0.2345335130676047
-0.03611934203548545,-0.35970493527243985,-0.30760125312149944
-0.5456721465343285,-0.26303124245099346,-0.2918773855742821
-0.20497461418417723,-0.3928592358774218,-0.35065612282129766
-0.6739057894815609,-0.30698501051812366,-0.20018368189399224
-0.4894408548132394,-0.2767491557755939,-0.2324563971833044
-0.7897665766843676,-0.22368307068391755,-0.21578839885046167
-0.5897638860714389,-0.391634349467697,-0.13940596642403258
-0.4255293194561518,-0.11010488016333292,-0.2774338223625765
-0.31699226330959634,-0.20167115132554236,-0.21481209621245093
-0.299313811781917,-0.11309774622571474,-0.23401339678444716
-0.5262062735199138,-0.161794952443648,-0.37215825415836734
-0.47129983317059665,-0.40786665760108587,-0.5301684956714865
-0.07204436269047229,-0.411499555138932,-0.1058410282586158
-0.49761275255135035,-0.13051300960064868,-0.2641452035551518
-0.20555791087972164,-0.3867179685681997,-0.3062148485514982
-0.6174446207772267,-0.2667988825938166,-0.31055653125010957
-0.7054896622378491,-0.3248216095807605,-0.25267531118829706
-0.8551578546831295,-0.34571389577827577,-0.1859389851383335
-0.4704635408557926,-0.21432720383273254,-0.1593801638623062
-0.14212609100372556,-0.27994350986869515,-0.2601242192608848
-0.9093478209114867,-0.32598503943988966,-0.32345921024560237
-0.39963968966294955,-0.275926936188288,-0.25330146258693137
-0.22784917592740034,-0.26610574083951466,-0.2561602982674368
-0.5715368910338744,-0.24039735910722307,-0.4105373602156013
-0.602029629868417,-0.2711702966843341,-0.2461121558942976
-0.3746658958733913,-0.40760137504931887,-0.43093560663577124
-0.2508729768952304,-0.24718190140865032,-0.16192936888061668
-0.24670446400274013,-0.2150066835640319,-0.22971648745541925
-0.14228029834446648,-0.2173114465853533,-0.31965218666797485
-0.4071882982132168,-0.44563023647220396,-0.12260143339864818
-0.0918198998148519,-0.45421086507970804,-0.21093855105927078
-0.26149073455415167,-0.23777659766601855,-0.44142886097296957
-0.12050848088517083,-0.19257890628654697,-0.18246224631151567
-0.4833885481059897,-0.22502334742756946,-0.20103472083111712
-0.25807582184092487,-0.06837418737099234,-0.15963099028795047
-0.5021974568376504,-0.36165677582556593,-0.22283157894220829
-0.37525876207322073,-0.24884159191033353,-0.10997245247650855
-0.6502963939232573,-0.10340290932897946,-0.0646554790044213
-0.6535846976242444,-0.1732633979377149,-0.5243646291035194
-0.34955309706519055,-0.21348912412761664,-0.125266400628864
-0.5483221512406824,-0.22151748131948976,-0.3443974392100674
-0.9065438536543049,-0.40295064994633234,-0.25698249894788056
-0.36828506756642226,-0.3409038270230571,-0.17055965297616987
-0.3490922390281764,0.016238954695172652,-0.24776908437714662
-0.27584908686522647,-0.30009974391868527,-0.25633674820817304
-0.4106086582354139,-0.2722804595811582,-0.18025395287932167
-0.2785221059858934,-0.25381664266161713,-0.20222620445658837
-0.26433866316313986,-0.2673175405806254,-0.23380573643233715
-0.3906466450745389,-0.22874927353744187,-0.3004470531476613
-0.3700288986184505,-0.21770744894257543,-0.2856510070900055
-0.47254130128443905,-0.22119365765162244,-0.33662794241611627
-0.07452289781319504,-0.23829578452362535,-0.1887291583309674
-0.5539210438162373,-0.23610705014913996,-0.23156142938581747
-0.30824328471652523,-0.2784235288355875,-0.19027020717648788
-0.05221561650199192,-0.3951061082103829,-0.2003623424232668
-0.15918641212716256,-0.3025785559761965,-0.2223491914283812
-0.5508235102276269,-0.2704272280933969,-0.4219686381235859
-0.9995884668157772,-0.27262714156007956,-0.21587446638309232
-0.3916171096308504,-0.19104257553107426,-0.2535544017081549
-0.3724318010581773,-0.26135212804110597,-0.19618932966394
-0.47521591028341986,-0.20407927394754094,-0.13279479383804366
-0.413383409082767,-0.3183780509555649,-0.20769697558531802
-0.5697116976417241,-0.2527155723395581,-0.20552962650895484
-0.39623805667255757,-0.14854761493095994,-0.050711482991651374
-0.23007339463048798,-0.07779393130777378,-0.09088090829892294
-0.3570125882833,-0.2947393367022428,-0.332889723225194
-0.5572527987891346,-0.21588380414945604,-0.17405198818265222
-0.47999277248240785,-0.39787223738275107,-0.053826987687332926
-0.6037652793401423,-0.5194256543296234,-0.24627842604574815
-0.09878289191997085,-0.3727299851274917,-0.38087779729043986
-0.2275202065512659,-0.20733863929269528,-0.3362680348623462
-0.9032691759379089,-0.2920481338539212,-0.3056465405848064
-0.5071847424361645,-0.14962944820485521,-0.4108075913593774
-0.2861440579808019,-0.2413435700086024,-0.16671130774502935
-0.6249459037599013,-0.2064815214324155,-0.25591792978830497
-0.8519696160406269,-0.29200530543388614,-0.443998739486029
-0.16489497412090584,-0.08499855009626314,-0.11414202886907865
-0.5816690002470787,-0.5357548432178723,-0.39406784044491594
-0.40887289355715173,-0.2172219100239518,-0.3141911339286833
-0.12173942641122383,-0.24452086260153033,-0.3288028141294656
0.047470987097394224,-0.36457993546750933,-0.32174710942717
-0.3146565267549811,-0.36192773006451195,-0.1380871148019547
-0.47385696952559414,-0.475693678838031,-0.3827476986037772
-0.4911425133956549,-0.46210406303712614,-0.3405600953797644
-0.7205258977710733,-0.2076527905032051,-0.2863529263200045
-0.7521682556521644,-0.20065514163831033,-0.26978240544227183
-0.7015426671482862,-0.24648277697912194,-0.27396962690225823
-0.0756255243550808,-0.4702446951833161,-0.13148198158390234
-0.24167416131578776,-0.3650616369668405,-0.2203223127787857
-0.19275276917817685,-0.40099448596375104,-0.12399334337715624
-0.23841678945760517,-0.35158552820150657,-0.2231176037556426
-0.20899646806365121,-0.34869470915952,-0.22222418378141873
-0.2800094208896664,-0.5499405836064747,-0.320547641255361
