V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86
-1.3348318233844751,-2.911192350157661,-1.5954981056590845,-1.1596945609500153,-0.15338300933400598,-0.605077279216864,-0.32538440433728644,-1.806282983213985,-0.6058210891822694,-0.7044419838598588,-0.39343063609293827,-0.5164762475804644,-1.687030176291766,-0.9071835907959293,-0.9535122794456146,-0.5514342379959128,-0.6517750747295666,-0.8678698659034954,-0.5889244334862758,-0.7563632146115858,-1.396222031234743,-0.5838777761528103,-1.3992380006435958,-0.6838182446422323,-1.0687181482380794,-0.4296395907932289,-0.6842265951664694,-0.6726224525193902,-0.0911279909734142,-0.28533240407211685,-0.6849520479173837,-0.36390077134140836,-1.4021079680613706,-1.9570514939121957,-1.529489615668772,-0.7521096543972996,-0.6481203735849086,-1.046392062895926,-1.097003552501142,-0.9167822163221541,-0.7219280482012372,-0.2727578502816989,-0.9724014951711804,-0.9113424458247087,-1.2695834447847458,-1.4154604286467747,-0.7639609740161684,-0.7423059093452707,-0.8274360778368894,-1.418329077256066,-0.7771342188629379,-0.49791844338434643,-0.8637209569100027,-0.4438763477394953,-0.4846572171154186,-0.30883690442924905,-0.3581159021539181,-0.8206843943767835,-0.6567519113229496,-0.76037553525682,-0.3979352060001664,-1.688185622476925,-1.2331049006966495,-0.7941071489672746,-0.6344750377803412,-0.568630632406698,-0.37623485599094875,-0.39658765116853006,-1.5633215007715513,-0.7622134976186519,-1.2089793061145235,-0.35037819148014815,-0.7716629535666556,-1.075306438968827,-0.6712542767409482,-0.692243265879263,0.03180999170553894,-0.8069154713530371,-1.0310541806715634,-0.19819363873962273,-0.14528784293176747,-0.4846695570918536,-0.49587883601233296,-0.33323079172705056,-0.6888324841324147,-0.39160386093794014
-1.3631213426564734,-0.6580299874299326,-0.4434111772412958,-0.3277019567694605,-0.26171017340415975,-0.8029914127978343,-0.07978247905772562,-1.4015607312106402,-0.811104335235434,-0.29285986417324444,-1.0988754716259175,-0.5026320171231248,-1.2219313410427881,-0.9943725768240889,-1.285709786868134,-1.2838464356953991,-1.2401668791469747,-1.0417015658273912,0.03532332679605212,-0.6101331892609251,-0.4190594757974807,-0.28270003053087017,-0.7249834900375102,-1.1008526435852506,-0.3536239887536223,-0.6697189732748653,-0.9823415758510944,-1.4990062867814298,-0.731656113378393,-0.7963563613097426,-0.8313675761164496,-0.4142835016109384,-0.26415877563897294,-0.10245759151459678,-1.0998470058599172,-0.11964069948994238,-0.7917824309208984,-1.2756652319566897,-0.3270619789178106,-0.5728402170319199,-0.7584717767625793,-1.2545794908434398,-0.3586027979360412,-0.7638012176788567,-0.032772708676716014,-0.855230456377755,-0.2614973369322866,-0.5186370479762015,-1.4345078155097732,-1.112794314755369,-2.5195573044566704,-0.25589515417418646,-0.3555471498912691,-0.19075964007484406,-1.7744899527397882e-4,-0.21807868289759655,-1.025391263331382,-1.2040686799674993,-0.5099853630530992,-0.8641582799173599,-0.6313023070789784,-1.3232792576084413,0.14324844655042945,-0.38926099572686534,-1.0659504994932467,-0.5108458995222095,-0.03391786255736755,0.0689204985664244,-0.36722876781319597,-0.7616517899016049,-0.6444847599246907,-1.0981291845688834,-0.8727545222314255,-0.0701197919881697,-0.5460421502209554,-0.7196135265150038,-0.2799070219733869,-0.6788747747792534,-0.6084338468094614,-0.6088109554718156,-0.31667217285522964,-1.0524446260849984,-1.2308959605407368,-0.6740876317061978,-2.076432721346135,-0.6292941349285047
-1.108496017338843,-0.43381587351500295,-0.5259386581203137,-0.49077324952499046,-0.9416849646582937,-0.35664180129533335,-0.7616126233671018,-1.3141915925304277,-1.3688382928898177,-0.9551794286191072,-1.246543024735144,-0.5099781012700183,-1.2512808060595029,-1.4089595700122108,-0.8247332909574812,-1.2140519189448415,-1.52748020982765,-0.4854010409349862,-0.5375749396191896,-0.632792740003578,-0.5151895625900496,-0.13362656007907725,-0.5524617186740856,-0.9271825329495448,-0.6960662143841677,-0.414741299743956,-0.8101634728775947,-1.3251574208948953,-1.1109487105862523,-0.7202287223952524,-0.608768125463157,-0.3715026460982543,-1.3227942219848987,-0.7570184678156154,-0.633613158288525,-0.3948760140182977,-0.8833440724998358,-1.7356243990484375,-0.968304254947764,-0.9327230156370442,-0.5222643466073522,-0.7623829737791972,-0.5270258478074471,-0.5523422118114946,0.05802539943984534,-0.38795621102771843,-0.04055874279172112,-2.0029335039318816,-2.018439629746277,-1.5166774515210193,-2.048017168850076,-0.2593376283027869,-0.3284624434507082,-0.3119439913590908,-0.5333584332501817,-0.29957988281311526,-0.7741451652176042,-1.3798407815598608,-0.7129191930079776,-0.7379036063217844,-0.678515951569522,-1.3570988027797717,-0.9374693155500651,-0.8193529903560127,-0.5646724891123398,-0.8812583767101794,-0.27580438509035715,0.14145773058770825,-0.8931927043747666,-0.6759138215870834,-0.8031068746530179,-1.030306606499064,-0.7026899131158487,-0.356190722458761,-0.2713547185546001,-0.4294181459624124,-0.42516340076875614,-0.07734171573768661,-0.6566356005614536,-0.38193572187380004,-1.1723343225345795,-1.4618826626865056,-0.42198707437187977,-0.7916027283107864,-0.2809223874478737,-0.5560846550639175
-0.8832190732849255,-0.6358576952583571,-0.6086366833411416,-0.3620546922124939,-0.20988875196446888,-0.3271828221073069,-0.9306561343259693,-1.0618828698796747,-0.4451227161763946,-0.7292132449997747,-0.3414300929046975,-0.06503307513648098,-1.485158070144506,-1.3860050787104101,-1.2270402288173212,-1.2633646262119917,-0.8946612745763177,-0.6307930603761486,-1.524132866488794,-0.4163805138806122,-0.37602842258842933,-0.5022073787814408,-2.1577565524114637,-0.9290308872398758,-0.4779007915475679,-0.3035312796477793,-0.7282306127843706,-1.5988920173303482,-1.2961332777056385,-0.783405393231982,-0.18395127497730204,-0.7416875706235249,-0.675168359862953,-0.8673532313912918,-1.1624547653736026,-0.714047239387918,-0.4981954509462965,-0.6638090532079054,-0.7250090665297646,-1.1247462249561455,-0.2593949256681081,-0.2489890303634144,-0.9809310351161294,-0.9551808060980385,-0.3357888457817968,-0.8729935953012824,-0.50506863723633,-0.3614722909834913,-0.20571398403775198,-0.08982528971909039,-0.7508132225197094,-0.4049428173224324,-0.7500382740490508,-0.3553852863447936,-0.7168098020710473,-0.5835681934699128,-0.08897984567663027,-0.07283400776966915,-0.9066170153363723,-0.611494905759091,-0.7987248427188575,-1.3071621220310925,-0.9887543830767243,-0.8958462234444227,-0.224383481974342,-0.49640102975065153,-0.2786116597916226,-0.5650969924701692,-0.9822214831010796,-0.23114904191644284,-1.1543875198280178,-1.0382801504852954,-0.8742256144844401,-0.7452916969079736,-0.6840690784405231,-1.0327235756737172,-0.6570237094572113,-0.297966788071607,-0.6057444233987451,-0.4478591681591265,-0.10842195598292624,-1.6796593939413245,-0.5360681747140021,-0.7093690995265798,-0.48529540404005217,-0.3023267917544197
-0.7626971857695916,-0.27090276348229797,-1.204919704004541,-0.9966337499749781,-0.3524111933808855,-1.3009950977478664,-0.9162854396872167,-1.2113003467609438,-0.6719503646124944,-0.7424601558817728,-0.5019448826467039,-0.569331020116748,-1.1707902994532624,-1.400180607798665,-0.4427501877328934,-0.6018463050561328,-1.2844090798481325,-0.8457013565959408,-1.5514568766937031,-0.7486706016263215,-0.9137228684840373,-0.6646010859713389,-0.25511594494669243,-1.3811406614303656,-0.3798245068901808,-0.5070979883292257,-0.7381075493016721,-2.0021787175311028,-1.313501195846494,-0.38787101567887455,-0.5090924241214405,-0.40916525930777475,-0.9964496665529117,-1.4921086332448537,-1.3374604093148665,-1.1875106670160986,-0.6917408252649849,-0.6469393494738604,-0.909246995654214,-0.848515126011972,-0.40705569390641977,-0.3645146098361693,-0.88162654609694,-0.7131964229926842,-0.7959986096350721,-2.0611549567259626,-0.689037789656785,-0.4086665065187554,-0.20877340154617116,-1.4012091895029746,-0.4822611567823826,-0.5470242643849733,-0.7106100018557511,-0.4875359289455041,-0.5494009194683429,-0.674069159386868,-0.6029873560773763,-0.48182046984702753,-0.5533226258879685,-0.7968635205847829,-0.7933729660026886,-0.9540029266863137,-0.6321117578544413,-0.47992067120741994,-0.6356623251067549,-0.45516409493833987,-0.9252658872537108,-0.5651217296383367,-1.6021987764052237,-0.5835555364746835,-0.6161163442113231,-0.9732520654843305,-0.7926293144353,-0.7687557029505587,-1.1781818585017547,-0.35882693914188046,-0.358844170501507,-0.31860805300565287,-0.5195346263740889,-0.5005313038171865,-0.8569324760095987,-0.6401219826853501,-1.3129602457253893,-1.1290241696217143,-1.6965951300509665,-0.36807649390501135
-0.996245788203918,-1.165857526168563,-0.7165893347646362,-0.737600718404939,-0.680313293628683,-0.7814291512930213,-0.6569137341731695,-1.0248009612148943,-1.0242350454945564,-0.9109831570729685,-1.249018274436359,-0.21970924989298724,-1.1684162595763403,-2.053804622864784,-0.9149588714104766,-0.798094316733824,-0.5782802019443557,-0.5931037576728151,-1.0468742250366903,-0.5539515497852585,-0.8643500326464763,-0.782424260815355,-0.9123490816173027,-1.2816188760615401,-0.34531018052140333,-1.03477198404771,-1.278047295535812,-1.775216280150537,-2.048030459160395,-0.6359201673027658,-0.5521930224904683,-0.5468260638775458,-0.6762053717088506,-1.0280933312940594,-0.36171839565153474,-0.5538060389579446,-1.0936001864399152,-1.1221116368803408,-1.2126221869045026,-1.0706213211489954,-0.5543260239154857,-0.4665566283704833,-0.23239309586460674,-0.8302114564967271,-1.470254397655715,-1.0546301779878169,-0.8783488832312784,-2.366596543480458,-1.5491813656902882,-1.1996303730453426,-1.532519759090799,-0.2576238502505524,-1.053528803326301,-0.5857423283582938,-0.886881157975087,-1.0905424198452458,-0.40641472224312747,-0.6881315423408884,-0.9579852909974723,-0.4073228707326245,-0.16395683227786736,-0.8991123822261187,-0.8200546731186868,-1.0996905631478342,-0.07862341039492365,-0.5219893267007062,-1.1879448838636382,-0.7598762836941381,-0.04836875852874525,-0.1408692624337802,0.06063494771045058,-0.9058890713284892,-0.8963086415006055,-0.9037468035534745,-0.5721243686513382,-1.2933310203486195,-1.2196438830775058,-0.722219587870831,-1.389256509236142,-0.6009953251417025,-1.8878402026554888,-1.1982998739646087,-0.8539795849084254,-0.7563257722343578,-0.5080537378462348,-0.2676110921079377
-1.1995548802500777,-1.2906394363409912,-0.9356579428754737,-0.8311016091418633,-0.2891755266406352,-1.031691071153658,-1.227198727393447,-0.9494252981992393,-1.6876964593343282,-1.548359029513485,-1.2527938122386462,-0.4857050382655147,-2.132329174216115,-1.8968794206030075,-0.7118170656557699,-0.9615258397857632,-0.8304720075503678,-0.21003235271432222,-0.7685169000565998,-0.4999934930778852,-0.762756467800933,-0.3854673526161547,-0.7010662780835931,-1.4748487006907536,-0.6574611393050551,-0.2912154549577004,-0.49358226854345194,-1.2971799583506598,-1.115493735575784,-0.7144586944680974,-0.39951173531601875,-0.33121726369039073,-0.9385556074738192,-0.2997897494787861,-0.37392104870649184,-0.45437774277147674,-0.9333158982651042,-1.3671394051259387,-0.16468951604417537,-0.4330846165761446,-0.862694192349283,-0.8929680203839582,0.4330416912948816,-0.462430335045529,-1.7844373715255006,-1.2345267342453066,-0.8078258553583842,-2.7106562539682857,-1.1086099680243602,-0.3366492403805873,-0.9894030133980692,-0.23307137748180046,-0.6555393242049345,-0.5742801530964431,-1.0651794787926991,-0.7626076040714235,-0.9516944547706188,-0.8694977839067664,-0.8932177519850265,-1.13871307104568,-0.7429974010353576,-0.24232760388845906,-0.769527265528949,-0.8465854642998958,0.46451318226436944,-0.6233805258658969,-0.6996820532379728,-0.5308271476503402,-0.2877294485334288,-1.0198167623440006,-1.2917914882967814,-0.6370231949086749,-0.8973021807320908,-0.8943204603465156,-0.5906612830290593,-0.7380862534117731,-1.3636492402064933,-0.8800049567297366,-0.9679971591117976,-0.514374653152511,-1.3194641860776013,-0.9022219063339363,-1.3218710361087533,-1.122638833337511,-0.6633778124798045,-0.6444967111464504
-1.1104387410558045,-0.9086059306618307,-0.8110951222427321,-1.306447004038432,-0.8995877064174748,-0.8560957006508901,-0.8571614349683915,-1.1899975394795126,-1.327118814606025,-1.226595795348276,-1.3064013029400277,-1.0794433908063097,-1.1891504355979952,-1.4379655829877276,-0.6050148759554403,-0.09430126081554459,-0.6036018495437485,-0.48273846527258285,-0.43588565718768146,-0.5229192149577635,-0.8170510925140008,-0.8964738201801215,-0.9754707337587094,-0.5519306858632109,-0.14196016949257229,-0.5008923308110995,-0.9410065102998229,-1.695396023252045,-1.4783462034092758,-0.644637016919025,-0.7882978989675264,0.08048285187743018,-1.4011607223835878,-0.03674673331367181,0.006526339561914534,-0.5050797596104096,-0.6096719441636291,-1.0910980793813834,-1.119421655044027,-1.135323805355283,-0.8405330041481782,-0.633262784512159,-0.5701952114535641,-0.5840274400718523,-1.1187137581838238,-1.2786726734863727,-0.7786971350164098,-2.3582588067462744,-0.9806722325243775,-0.6194371623119592,-0.666981607495354,-0.41381492045228363,-1.1004345303880214,-0.6404150207813692,-0.9583907265975842,-0.5949614292266079,-0.6266953737374816,-0.6925148915567514,-0.6473849941654237,-1.3545569236087651,-1.199058342298641,-0.5006825406475386,0.050154470908082775,-0.6302846311145823,-0.9194893485647068,-0.6651979857589813,-1.1985222862487135,-0.8751577073593763,0.15052910108264653,-0.8947957180968777,-1.2126402323440222,-0.3362427658457428,-1.0914669474957626,-0.5672560589740299,-0.38235356954777594,-0.5706089113586665,-1.216109507309683,-1.2247742141571998,-0.6694207271659083,-0.25475379514461727,-1.495634807955506,-1.3456867298652386,-0.9223456937388959,-0.7354202837169278,-0.35853224567612135,-0.6517706254059865
-1.004190638443828,-0.9117810886506582,-1.131075214230155,-1.4806975969064466,-0.18046921985383113,-0.5736395428469168,-0.8561520119166087,-0.849764684234752,-1.0799875333420519,-1.1753588747425854,-1.2718908011935768,-0.9271342431428085,-2.8953489934855727,-1.3222567171472324,-0.9822099809486929,-0.5335511498235704,-1.0106924211432966,-0.6104328919415336,-0.9378782734810618,-0.4722586544550378,-0.6578185795414293,-0.6759541423146748,-1.0448475821341583,-0.9025907403159247,-0.13983002555892332,-0.4457042797712706,-0.5602116018618736,-1.5934759290731741,-1.1508738207454168,-0.28622723738297623,-0.3581166235828084,-0.16941503241536762,-1.381129226972861,-0.1171490175253854,-0.44131794980074457,-0.5950248908795251,-0.44479868427513003,-1.4865183188007824,-0.40004552622139794,-0.5657634621993137,-0.9433043628470845,-0.7884607441491919,-0.55247204693404806,-0.3013554984040462,-1.5599856704201687,-1.109494804414593,-0.44731878499560274,-2.347837118818509,-1.0504492132875467,-0.851281912816176,-0.5195836681117489,-0.5039595107330188,-0.7831305473150076,-0.7535958389448942,-0.9105834297642931,-0.6234271131321693,-0.7627147071223189,-0.7386584885387907,-0.8360520194882269,-1.1250772705454404,-1.3189008726017748,-1.1721795561604271,-0.15409732655642247,-0.6246425724304989,-1.4193713252240145,-0.8131812456066185,-0.8489363247847543,-0.5577788738488183,-0.41794429885294415,-1.161347304904586,-1.3182211821459036,-0.4920325908981372,-0.8567746678837501,-0.06071943778360119,-0.7960690467645443,-0.4786992998064679,-0.9186327676540856,-0.9708942024859831,-0.5936916987309404,-0.5450427677347397,0.3609278145665641,0.028575488781713718,-1.2937536144366806,-0.8085588050411924,-0.7190845765632026,-0.9555747733251377
-2.134373022024809,-0.9011151842082766,-1.0059724664961152,-1.3454948570748075,-0.6594904254051465,-0.9875369050444951,-0.49946876346085683,-0.6658758513434244,-1.0966729720868573,-0.7495817788805968,-1.1752130082042445,-0.5793277068881973,-3.143815812971414,-1.920664316126945,-1.0832113540298005,-0.5824936146359674,-1.602387196595178,-1.010866568813937,-1.0166534584346334,-0.5347244327977034,-0.5480962301279977,-0.6127120064693954,-1.0819867838991901,-1.8801798628101276,-0.8621126786684989,-0.6173158805520348,-0.8634631720946522,-1.5378444674455582,-0.34625908816196505,-1.0133982032793754,-0.7722471233366901,-0.22737031466073582,-0.760827056517578,-0.230208773313263,-0.48654295819856613,-0.23491658974939345,-0.8916427809719474,-1.0519094849038582,-0.43511381111899916,-0.6787283175334611,-0.5573225601396199,-0.7254435067220464,-0.49315674889322725,-0.8178563490381041,-0.2713977303265122,-0.7620183667818952,-0.27241994648481066,-2.480562304761794,-1.941266585326517,-0.7058320644805889,-1.7646633092048956,-0.11464120232695353,-0.1255712279543278,-0.36141036362306395,-0.7935713340148817,-0.3997900878702218,-0.7135618707293102,-0.927799797847377,-1.2111458290106445,-0.1680151819096631,-0.5364625531658098,-1.0086947488334588,-0.3972754769292394,-0.910575954683532,-1.659089215417508,-0.665959001021426,-0.3188623247584419,0.020853461633871043,-0.26217444516060495,-0.6371194651859337,-0.49298962358559123,-1.0750292784931519,-0.6843948597238556,-0.39301147264525355,-0.20994960590480147,-0.8479330827352428,-0.3492998980294701,-0.19907481605979568,-0.8261314014103587,-0.4174711134082627,-1.8551671389933506,-1.1185945077743642,-0.7471912628476919,-0.3656393580547049,-1.6972783718397166,-0.45781405093268024
