V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91
-0.2839288086583093,-0.5304074497320239,-0.7484447469807899,-0.7484447469807899,-0.8861737402748965,-0.5907236965534842,-0.5907236965534842,-0.5907236965534842,-0.5907236965534842,-0.5907236965534842,-0.5907236965534842,-0.26607268250654353,-0.26607268250654353,-0.6487700241895027,-1.4603504576347568,-0.8985968762537531,-0.8985968762537531,-0.5993644825173551,-0.1874097147854204,-1.2284606657818797,-0.09944266737769886,-0.09944266737769886,-0.3584866474097781,-1.2182116862854255,-0.7442216933775946,-0.7442216933775946,-1.4058866982853844,-0.833059295886046,-0.8532959345088215,-0.8532959345088215,-0.4710015850528651,-0.2823822412251386,-1.436832390687606,-0.5680445693099848,-1.0737684651980128,-0.49862881627822087,-0.4037089596579932,-0.3936610298028424,-1.3728178706221088,-1.1121432985938615,-1.1121432985938615,-0.5036486584757868,-0.5802234542898628,-0.3868284519114949,-0.15588286717169178,-0.4046104228442063,-0.9636406531305783,-0.9636406531305783,-0.00929997401345856,-0.33234722725914706,-0.33234722725914706,-1.0152334970408659,-0.9122888060679454,-0.4142092306090523,-0.4142092306090523,-0.16531859706356095,-1.24546310320951,-0.6351022754799163,-0.6351022754799163,-0.6351022754799163,-0.683730127635049,-0.683730127635049,-0.37192075781214057,-0.5951057224304241,-0.5951057224304241,-0.4331260063644642,-0.4331260063644642,-0.4331260063644642,-0.5598572866450147,-0.5598572866450147,-0.2392663023994102,-0.564564147550453,-0.74213956718901,-0.74213956718901,-0.4362006348653241,-0.5525254682843835,NA,-1.0185811069390494,-1.0185811069390494,-0.38759157731667065,-1.5909094044978753,-1.1333310480598013,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.5984295989583737,-0.3919776577752082,-1.5591951129092916,-1.5591951129092916,-1.245423611579473,-0.5485305630563682,-0.5485305630563682,-0.5485305630563682,-0.5485305630563682,-0.5485305630563682,-0.5485305630563682,-1.116023067621923,-1.116023067621923,-1.111517937477371,-0.4427879629534564,-0.4763935472864282,-0.4763935472864282,0.016565670755768484,-0.2988302398695996,-1.2800681724489054,-0.39024873740164345,-0.39024873740164345,-0.25205113305003124,-0.6450370415045646,-0.3786501726560297,-0.3786501726560297,-1.3232730277738163,-0.801725502758169,-0.6647871850722608,-0.6647871850722608,-0.8482307260651847,0.11257960351071558,-1.3079798392048847,-0.5680445693099848,-0.2907521521431926,-1.1692229183601806,-0.5292443221538742,-0.5422398553875382,-0.8641686672437208,-0.14948828715075205,-0.14948828715075205,-1.174477372609677,-0.23932128967781607,-0.5592386499251527,-0.3096095820668553,-1.123725869483288,-0.12209157664207392,-0.12209157664207392,-0.5775151251464955,-0.8493935861546497,-0.8493935861546497,-0.2572544200337997,-0.40138778036481915,-0.4142092306090523,-0.4142092306090523,-0.43817407583448986,-1.3023023609427822,-1.2455733130529216,-1.2455733130529216,-1.2455733130529216,-0.1404584398789391,-0.1404584398789391,-0.23452107591102495,0.08427559560537869,0.08427559560537869,-1.14308405829002,-1.14308405829002,-1.14308405829002,-1.1724991102263946,-1.1724991102263946,-0.22943958698728056,-1.444586389339718,-0.22884699011427467,-0.22884699011427467,-1.4134324341893498,-0.49946081287557076,NA,-0.1765926909724067,-0.1765926909724067,0.0823042876217771,-0.3197779705856068,-1.4102184333217653,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.2143816674084664,-0.44091755659398607,-1.1574552214845772,-1.1574552214845772,-1.2973203045929564,-0.23061137029135437,-0.23061137029135437,-0.23061137029135437,-0.23061137029135437,-0.23061137029135437,-0.23061137029135437,-0.8661627805576799,-0.8661627805576799,-0.37675311696236835,-0.587120705637386,-1.0531413032864247,-1.0531413032864247,-0.8329793712641194,-0.631315769638712,-0.6246222488876004,-0.9149828059916404,-0.9149828059916404,-0.28154450594539254,-0.3456726916153885,-0.49786093260778685,-0.49786093260778685,-1.196181618203858,-0.9595743492067406,-0.9451890265128524,-0.9451890265128524,-0.762049154104651,-1.274993847516748,-0.3635722823851035,-0.5680445693099848,-0.26621467924125247,-0.7423997879496739,-0.2018585883707465,-0.314321627405597,-1.0611058807301699,-0.8666808411574136,-0.8666808411574136,-0.5530972974739992,-0.3890403199781766,-0.838903642062634,-0.7369289433388533,-0.635933075062861,-0.8478563532767087,-0.8478563532767087,-0.47437283866880364,-0.4409171867797568,-0.4409171867797568,-0.580405823457809,-1.1697085220202226,-0.4142092306090523,-0.4142092306090523,-0.4938558760167062,-1.2245785206624615,-0.3110912839152497,-0.3110912839152497,-0.3110912839152497,-0.40489294869777004,-0.40489294869777004,-0.7296613758597846,-0.8190530758907311,-0.8190530758907311,-0.8774824633318902,-0.8774824633318902,-0.8774824633318902,-0.41610936317270547,-0.41610936317270547,-0.019546962863335977,-1.5228099496407137,-1.6618486161171233,-1.6618486161171233,-0.6154046345927108,-0.9171615119382814,NA,-0.02456906299055015,-0.02456906299055015,0.17060666904918276,-1.0177307519643088,-1.257654264470734,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.2621768701605771,-1.4385747511616853,-0.5084291516634063,-0.5084291516634063,-1.1164068741338284,-0.6013975103845367,-0.6013975103845367,-0.6013975103845367,-0.6013975103845367,-0.6013975103845367,-0.6013975103845367,-0.726215773722195,-0.726215773722195,-0.8449123719053441,-0.9568661167489811,-0.3085504174803364,-0.3085504174803364,-0.5023047603801488,-0.4110358278532121,-0.5116983123121824,-0.7605202716692455,-0.7605202716692455,-0.7866063606691849,0.18418072303757962,-1.6235061910511375,-1.6235061910511375,-1.7070645069734565,-0.3161465718402651,-0.11010358604977126,-0.11010358604977126,-0.2874134218191968,-1.6207324019911256,-1.6126908849660178,-0.5680445693099848,-1.1173747988308067,-1.4336036864065445,-0.5346335546636108,-0.35530546198509766,-0.5131812627770506,-0.633806868594052,-0.633806868594052,-0.37436901618121826,-0.2717562060067256,-0.6205540061689794,-0.8272570397459132,-1.164934204132245,-1.1004507346787222,-1.1004507346787222,-0.7767193492987453,-0.815376607949945,-0.815376607949945,-0.5962323575997178,-0.8706631296813442,-0.4142092306090523,-0.4142092306090523,-0.6004842672494038,-0.5850267716148477,-0.20528926390941013,-0.20528926390941013,-0.20528926390941013,-0.40303819748190933,-0.40303819748190933,-0.27665848618812017,-0.6978859230246974,-0.6978859230246974,-0.9444860987189025,-0.9444860987189025,-0.9444860987189025,-0.21477158761563891,-0.21477158761563891,-0.6667787283067774,-0.7446881771514042,-1.0077055043895677,-1.0077055043895677,-0.34152724879541513,-0.4894618806021658,NA,-0.471861641615305,-0.471861641615305,-0.5507506308072314,-0.9694732169989649,-0.9823043358322578,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.348055107831036,-0.8598038813404963,-1.418502646266757,-1.418502646266757,-0.3188565065877329,-0.04135977458699624,-0.04135977458699624,-0.04135977458699624,-0.04135977458699624,-0.04135977458699624,-0.04135977458699624,-0.4239983759991997,-0.4239983759991997,-0.5419148863647262,-1.4250015958220286,-0.7889544341024894,-0.7889544341024894,-0.9225405882485319,-0.39833103925984276,-0.3720412710127613,-0.9102286241978471,-0.9102286241978471,-0.21518052300341592,-0.5920728607971623,-0.420443083988303,-0.420443083988303,-1.2128392288625904,-1.0465177111448265,-0.7647882361438377,-0.7647882361438377,-0.9971315177186144,-0.717246066998467,-0.33062173125585237,-0.5680445693099848,-1.5084323919735085,-1.7423170736852491,-0.4102183973949554,-0.4335188986059908,-1.403063478591209,-1.091690002935376,-1.091690002935376,-0.08591073162387591,-0.2765605844166923,-1.0948658919459064,-0.7361541141293344,-0.5379749850237889,-1.0518811571303337,-1.0518811571303337,-0.784921551451921,-0.43754578689774004,-0.43754578689774004,-0.9977322607423865,-0.492437467129582,-0.4142092306090523,-0.4142092306090523,-1.1152960608192306,-0.8514438382033117,-0.9517663570721238,-0.9517663570721238,-0.9517663570721238,-0.343201366496164,-0.343201366496164,-0.3837120067337427,-0.26861799723709084,-0.26861799723709084,-0.822494330450032,-0.822494330450032,-0.822494330450032,-0.8677176630026687,-0.8677176630026687,-0.5051766595927524,-1.2150344468066705,-1.0478701160720212,-1.0478701160720212,-0.35281999527499164,-0.4792343916921542,NA,-0.8356989543595502,-0.8356989543595502,-0.5740024799983973,-1.618423159811059,-0.7893189586116589,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.17708701524101142,-0.7279709088872057,-0.9430734029202358,-0.9430734029202358,-0.8533697266988561,-0.6078738453039442,-0.6078738453039442,-0.6078738453039442,-0.6078738453039442,-0.6078738453039442,-0.6078738453039442,-0.8903450942165148,-0.8903450942165148,-0.8774901964667411,-1.290973316659612,-1.224946079111668,-1.224946079111668,-1.3512166870793696,-1.0865496062848181,-0.27229458711351273,-0.9228717572743271,-0.9228717572743271,-0.2691200705133616,-1.285855371042536,-1.7262557766287885,-1.7262557766287885,-1.187847175314304,-0.7517623742889054,-0.39030265547369675,-0.39030265547369675,-0.8848597284211096,-0.7467684613572884,-0.4246469872262492,-0.5680445693099848,-0.5414044447127618,-0.41151678436139943,-0.8865154102762764,-0.6547450238900632,-0.9903990650286022,-1.1795980997800226,-1.1795980997800226,-1.2138868129297238,-0.5052338676973939,-0.7766363752264788,-0.3154266975538703,-0.9807997599735612,-0.5580299348020958,-0.5580299348020958,-0.7783641303191696,-0.6784511205318586,-0.6784511205318586,-0.5282283610266322,-0.7367174990311519,-0.4142092306090523,-0.4142092306090523,-0.8535432232826244,-0.4260294689801782,-0.8723637529421743,-0.8723637529421743,-0.8723637529421743,-0.5238485338867913,-0.5238485338867913,-0.6254282125140419,-0.7480455217373744,-0.7480455217373744,-0.29258642271962143,-0.29258642271962143,-0.29258642271962143,-0.8700774379061533,-0.8700774379061533,-0.23940771318577722,-0.6953854701657443,-0.5129277392053714,-0.5129277392053714,-0.4449913413726738,-0.9264350932093578,NA,-0.07077043878678438,-0.07077043878678438,-0.2283897454233629,-0.6980392956047549,-1.2828550379517414,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.7298525414586006,-1.254439278657363,-1.0531378322386127,-1.0531378322386127,-1.0544890818358348,-0.4305349104876794,-0.4305349104876794,-0.4305349104876794,-0.4305349104876794,-0.4305349104876794,-0.4305349104876794,-0.7790670497522472,-0.7790670497522472,-1.166131173953227,-0.42864518770664606,-1.0193471646745536,-1.0193471646745536,-0.7293812993824951,-0.7347521552201629,-1.3770059718564216,-0.5738050191368255,-0.5738050191368255,-0.7202321226652455,-0.5024697539436753,-0.44254866433574014,-0.44254866433574014,-0.17486561582935448,-0.24832373388379908,-0.5566166331435887,-0.5566166331435887,-0.6792158381140736,-0.2948433635278947,-2.537844236012847,-0.5680445693099848,-0.7711803622859754,-1.1914105067887348,-1.121925836897857,-0.28930895512179416,-0.7853272905898824,-0.8426723826122791,-0.8426723826122791,-0.9029089319357771,-0.3823915087706206,-0.2865630868027147,-0.4897621992628546,-0.802227122362661,-1.306848815581189,-1.306848815581189,-1.0087169402644944,-0.9641474027644112,-0.9641474027644112,-0.9118370262599994,-0.6389279847514854,-0.4142092306090523,-0.4142092306090523,-0.971357406225476,-1.3790453639143723,-1.0360585668774758,-1.0360585668774758,-1.0360585668774758,-0.5465556900437863,-0.5465556900437863,-0.9771224703164076,-0.4725355404973358,-0.4725355404973358,-0.2061573248893779,-0.2061573248893779,-0.2061573248893779,-0.775173627698179,-0.775173627698179,-0.2064738508085893,-1.4757472169044652,-1.2643656913100627,-1.2643656913100627,-0.3065038247302757,-0.5033594801797338,NA,-0.29972428628340514,-0.29972428628340514,-0.744021051616539,-0.0245764072862429,-0.18012988728498822,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.5369031674247069,-1.3841147944570622,-0.591048799373625,-0.591048799373625,-1.3911532191523377,-0.6927864168579319,-0.6927864168579319,-0.6927864168579319,-0.6927864168579319,-0.6927864168579319,-0.6927864168579319,-0.80090020181950194,-0.80090020181950194,-1.0399285132465885,-0.9772611853438512,-0.834180742741898,-0.834180742741898,-0.4281859209774217,-0.313895310179114,-1.2965314267473067,-0.15600119729573508,-0.15600119729573508,-0.833288397417822,-0.8396847606650427,-0.37329333846705753,-0.37329333846705753,-0.7057182208999165,-0.35776218861906633,-0.25684345135084397,-0.25684345135084397,-0.7792727838876526,-0.6912253802332706,-1.0096801361491199,-0.5680445693099848,-1.2716292562687608,0.03499850281156635,-0.7247697694370344,-0.7705283282302734,-0.38171667269174625,-1.0287265681248527,-1.0287265681248527,-0.9009964968759461,-0.8793250110362558,-0.989394933252298,-0.4349357858978177,-0.7170374865716825,-0.16513113184668948,-0.16513113184668948,-0.8148655110461926,-0.810020555225676,-0.810020555225676,-1.0070879021608012,-1.494286704178314,-0.4142092306090523,-0.4142092306090523,-1.0964367725374138,-0.9498880738948172,-1.2363208714362621,-1.2363208714362621,-1.2363208714362621,-0.906791476361084,-0.906791476361084,-0.9336776513639217,-0.945831184431547,-0.945831184431547,-0.5933810828376169,-0.5933810828376169,-0.5933810828376169,-0.7396180471434539,-0.7396180471434539,-0.27101692797136223,-2.1964378742744186,-0.04607498462004263,-0.04607498462004263,-1.0668018292097854,-0.5927161283121494,NA,0.010667932468027858,0.010667932468027858,-0.5235967248882323,-0.2904549495994511,-0.6988111047326171,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.335459554970845,-1.1308196962813366,-0.8455880314990238,-0.8455880314990238,-0.40573705267253257,-0.3429985886410348,-0.3429985886410348,-0.3429985886410348,-0.3429985886410348,-0.3429985886410348,-0.3429985886410348,-1.0109842943309884,-1.0109842943309884,-0.39837255175740255,-0.6515497352827909,-1.0057995964829713,-1.0057995964829713,-0.27772530859674704,-0.7897623055816947,-0.2606709590061311,-0.9231659695018043,-0.9231659695018043,-0.5018803582041349,-1.097993426013915,-0.15975515571781126,-0.15975515571781126,-0.177013559423925,-0.5814432971352695,-0.16240633972711338,-0.16240633972711338,-0.7090704609823612,-1.346097857058448,-1.5815726455514862,-0.5680445693099848,-0.184810642443305,-0.6858096795787144,-1.105599098165657,-0.6778967691676436,-0.8973583772330755,-0.5611979818964512,-0.5611979818964512,-0.805097018591481,-0.004317611937647607,-0.30957242145150166,-0.924364676487556,-0.7847055061747962,-1.0785367383033033,-1.0785367383033033,-0.49760002297359784,-0.9926845383652666,-0.9926845383652666,-0.8979743476163212,-0.9732501699342985,-0.4142092306090523,-0.4142092306090523,-0.297992877119258,-1.0355937514101337,-0.45646616802764556,-0.45646616802764556,-0.45646616802764556,-1.1425747427917667,-1.1425747427917667,-0.8243792691266764,-0.6790473041145507,-0.6790473041145507,-0.45664242107594066,-0.45664242107594066,-0.45664242107594066,-1.431871793644478,-1.431871793644478,-0.2898499813958087,-1.360731135688085,-0.20199653771008558,-0.20199653771008558,-0.2686895075863585,-0.66789052318941,NA,-0.20556056699592326,-0.20556056699592326,-0.8447658432722517,0.1298109368045049,-0.5418560821736571,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.36118295426847197,-0.5188822930441934,-0.5266586216541405,-0.5266586216541405,-1.5484849184987173,-0.37815965085301406,-0.37815965085301406,-0.37815965085301406,-0.37815965085301406,-0.37815965085301406,-0.37815965085301406,-0.9975627499600667,-0.9975627499600667,-1.1255996711552116,-1.2072225369072531,-0.8396003999893014,-0.8396003999893014,-1.2676074842409397,-0.5811929648225441,-1.098730564703432,-0.6847090395784446,-0.6847090395784446,-0.562605787081931,-0.9571677703771407,-1.8022640717901144,-1.8022640717901144,-1.2624400952016792,-0.8384925110177995,-0.779798304864897,-0.779798304864897,-0.6426478127819412,-1.2232795709296054,-1.739309876276223,-0.5680445693099848,-0.5233496583872878,-1.238254629158994,-0.9371293584629392,-0.4648759773554638,-1.3791339848422166,-0.4657836799248527,-0.4657836799248527,-0.9359511596696988,-0.010822300479698867,-0.32515352919905244,-0.6654590334440433,-0.9720827520255402,-0.6090353020501412,-0.6090353020501412,-0.948790180342575,-0.8614460526390714,-0.8614460526390714,-0.5840539479519191,-0.3011030905372826,-0.4142092306090523,-0.4142092306090523,-0.09150324758845209,-1.4832883615831303,-0.5771696457834025,-0.5771696457834025,-0.5771696457834025,-0.7291073953029641,-0.7291073953029641,-0.530288969538528,-0.9100557319841944,-0.9100557319841944,-0.6606287644534764,-0.6606287644534764,-0.6606287644534764,-0.8055026161270721,-0.8055026161270721,-0.5281666546555416,-1.4884194393767902,-0.24685103363811384,-0.24685103363811384,-0.3936873333239906,-0.7792274421949816,NA,-0.1085512386568338,-0.1085512386568338,-0.5392038352582504,-0.433026097026003,-0.8435225336798796,NA,NA,NA,NA,NA,NA,NA,NA,NA
