V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63
-0.2746127380182035,-0.45469921710903954,-1.3840748854597849,-0.7854976776510308,-0.390668228509836,-0.7810497235830488,-0.980824253840765,-1.3601351456919095,-0.0825355392572268,-0.2692343948500522,-0.41013309008730664,-1.2222522080135987,-0.32229445891878,-0.4209594253693091,-0.29976745607469923,-0.5003432143383796,-0.7587193411313358,-0.757478411095847,-0.28821957524218345,-0.8128770189065517,-1.0595145313972096,-1.4712279096979877,-0.605845406280133,-1.9170425664873916,-0.6441664416522244,-0.9769521362030251,-0.24711870582712026,-0.986694327907419,-0.5368060474982623,-0.9413196386744909,-0.8963300324990897,-0.9366324234818293,-1.3958982649467877,-0.71124587385847,-1.0863837534129848,-0.1590890898313872,-0.9685978429939154,0.15829546393800634,-0.5172721859215589,NA,-0.7589099923020267,-1.2547818704505878,-0.4632598366978666,-0.42950960630940827,-0.32068403625190584,-0.42613689022736717,-0.4809066106080485,-0.9320243341954324,-0.25728780361629466,-1.2522241596214791,-0.28179617635031684,-0.8458463763114544,-0.7874540075675055,NA,-0.8975781967455884,-0.7920003024102414,-1.526656397402768,-0.9926621113675841,NA,NA,NA,NA,NA
-1.5184253541964603,-1.0394396345634738,-0.6356537073949229,-1.9737921260566176,-0.18214054356395112,-0.4810037285032187,-0.5848716316748775,-0.48648601576777034,-0.3461441475073004,-0.6864136725963152,-0.8003584620602225,-0.4271284207362207,-0.4279467563444434,-0.14839692677803173,-0.5969256023674678,-0.9859637298239606,-0.8848214137841731,-0.4714659415498367,-0.5716636334463897,-0.6554074361031691,-0.26518596024370567,-0.49255912069945257,-0.6747439049951803,-1.2691696179043788,-1.2399490587576354,-1.0311649428435679,-0.3196651214699006,0.053115675165380925,-0.9969643101042338,-0.13114289781362634,-0.27154767898756993,-0.8819065992105083,-0.3147708808864303,-0.9069277313349938,-0.5085095508165598,-0.27600066803300377,-0.3269649955033964,-0.4434174048486463,-1.2859603613335393,NA,-1.078530897136775,-0.2724124257180244,-1.1227666681783552,-0.4838552498956039,-0.5606223399771846,-0.31797254086187454,-0.437560136062799,-1.0965982218348782,-0.1811188952600559,-1.6125152973215995,-1.4002910105568993,-0.43783124453400435,-0.08446159002066657,NA,-0.6537087894202596,-0.5977590486805311,-0.4339012461302475,0.13491252169906023,NA,NA,NA,NA,NA
-1.053160280183742,-0.45348885992004145,-0.4424646998709896,-0.44718684433316125,-0.234570022577147,-0.20604436665631437,0.31933929363423,-1.0881642150246114,-0.9325598906907694,-1.2317870363729089,-0.1974507507427366,-0.34738718364315735,-0.2687778005540184,-0.8942563277763054,-0.9091030161253479,-1.5738687671330027,-1.68436064811224,-0.9016690028537637,-0.34397085267884814,-1.2470679978314254,-1.1052822895488055,-1.2347605572461775,-0.20568094336047293,-1.4590523074924096,-0.8337958410144832,-1.2154319313042172,-0.5318503293097712,-0.8998545457246468,-0.4618147120850924,-0.5656315075433117,0.20593412324334148,-0.8770661656355281,-1.0537785052436335,-1.2847005670441611,-0.17936468255258387,-0.2841399862754512,-1.0496374518856642,-1.3149282556121753,-1.2206042588878578,NA,-0.44648649638874305,-0.4589875473464554,-0.3001659311301253,-0.8740326427391206,-1.0662115540494925,-0.3273927861150479,-0.7981363163916598,-0.9538309382901454,-0.3182265669597111,-1.440407033338817,-0.2723183853321384,-0.7612183140854358,-0.5669237580825711,NA,-0.5518341786810641,-0.009992814991520186,-0.6308888978284894,-0.27362246937847295,NA,NA,NA,NA,NA
-1.38173766383222,-0.8402644195084742,-0.7068085431916553,-0.4350361227343492,-0.8034810063647734,0.09824259895105747,-0.057517407674831954,-1.396586234073285,-0.9268825133843095,-1.255072736516124,-0.6010253435226731,-1.4090395818845314,-1.245581905749812,-0.09451248808495338,-1.2434466637865205,-0.5027197867583313,-0.8356630878875458,-0.22707310197430228,-0.5004753909985957,0.06317857728522477,-0.4125926053898381,-0.47271276981607424,-1.012064700342986,-1.326099983661479,-0.7497247889257366,-1.3314824708815147,-0.5347309072954748,-0.835519330655755,-0.49294681168426513,0.2127502540956067,-0.9905393600957679,-0.21882465322774758,-0.31471231882933415,0.1775184923841653,-1.1842855694264387,-0.2516753097295536,-0.9932403773088105,-1.0549153427640763,-0.4367861616544652,NA,-0.5639904608435303,-0.2268291239695853,-0.45275156033203395,-0.559822693612206,-0.5260133455362191,-0.6352242875863471,-0.6401541357020392,-0.30328962778746066,-0.6812186350086359,-0.34267111799001115,-1.0166506811538076,-1.6851815548899962,-0.42521961294967486,NA,0.16220098972112712,-0.2156904803908696,-0.9172993754396725,-1.0883479584187852,NA,NA,NA,NA,NA
-0.3924244148084888,-0.0643867615403758,-0.658677631966732,-1.2175506631840973,-0.22812468857251358,-0.6792529439167897,-1.3507871173613406,-0.12245735230443008,-0.9169324593284125,-0.4993443018138056,-0.9674403605797475,-1.5293262900908005,-0.9753217518877463,-0.9166853762126657,-1.5432332676194596,-0.2428439987617791,-0.5333590336570663,-0.7465568150834859,-0.7941498525868501,-0.2912143242284237,-0.9787364714620123,-0.5854676515527799,-0.3561906572071722,-0.29074352877859777,-1.2374500464314198,-0.18143448731674838,-0.679773136610536,-1.418142702777422,-0.5560516987430445,-0.7029929226078855,-0.5526180033571941,-0.40741252800444155,-0.5910209631233323,-0.7901013875191013,-0.533936110985287,-0.8797616296780201,-0.9802201718115582,-1.0849677083942992,-0.27703662456490696,NA,-0.4518372803529642,-1.7547517330047548,-0.2477436142680133,-0.5576552648857546,-0.8845782120986462,-0.594220005247614,-0.7801358429507074,-0.6810333019654236,-0.17594789779949413,-1.6226917143517376,-0.943702995152397,-0.4154080305053815,-0.6940468939494224,NA,-0.605157991180936,-0.2765045339841993,-0.19568618603229895,-1.0756604505598897,NA,NA,NA,NA,NA
-0.4221249444689094,-0.35089142583913713,-1.4637324446360098,-0.3760009539214943,-0.36926494682687294,-0.8116536639912,-0.8620935166754843,-0.3124694964938852,-1.007208568463258,-0.18905228609850203,-0.6907749547331236,-0.45590138421484,-0.6066973178264499,-0.23859117167326344,-1.1668504054730275,-0.6584210064219317,-0.3676386660045787,-1.1487409794499215,-0.7504534972650478,-0.8401973271418626,-0.823089714973787,-1.7196334246446927,-0.039036544704749015,-0.23405414991933401,-0.35508714024973514,-0.8243829934475378,-0.5507871232947423,-1.23531608679251,-0.8931864185017673,-0.5583874306872502,-0.7972491889290911,-0.8964387139284838,-0.8413519260697074,-0.6962075131843498,-0.6256127642208795,-0.7863819955565978,-1.1081472767045606,-0.7612228124113418,-0.21649458743605265,NA,-0.41732986326426735,-1.0373151267713405,-0.9064584681234886,-0.48636707731920753,-0.53777230740607,-0.7298319763291347,-0.6690818084679759,-0.5137150633737672,-0.8069410752715581,-0.21221362551506054,-1.267148009293786,-0.6556056366514339,-0.5047041646268561,NA,-0.5119555512537793,-0.3109500498972231,-0.3873536007705504,-0.20381200610148908,NA,NA,NA,NA,NA
-0.7579495710049642,-0.46981506865477035,-0.48042723352812905,-1.3494893101028358,-0.9332040988919792,-0.8419550008333584,-1.119016246179859,-0.8456468811408305,-1.015397428310817,-0.43708021244047446,-0.9532751118910443,-1.1165020273785673,-0.35678244130080894,-0.15420808847383757,-0.8218132220994415,-0.45107964000924866,-0.808786316027378,-0.3653112384283656,-0.523208031588155,-0.8625774170355756,-1.0533315586438237,-0.7020704593733977,-0.13113066327094758,0.08052955180656549,-0.570377613587328,-1.0696093722902933,-0.8500009834001591,-1.399574924381186,-0.918554388985713,-0.11730284434472768,-0.45013030788412917,-1.0122822453829858,-0.9406323016229539,-0.5988213382130135,-0.3389325728882689,-0.7910273026986394,-0.9847934735049184,-1.0595724246419735,-0.6774603484679135,NA,-0.21283070665786333,-1.2651510873648624,-0.16766384931387748,-0.8117733367034101,-0.726771908241077,-0.2920607774100477,-0.3223466208290575,-0.45487731371900164,-0.4472438862681197,-0.5530359206729687,-0.4163362386309872,-1.219497906366835,-0.3524521367995639,NA,-0.3284110803739624,-0.025629894816230396,-0.49677655609788546,-1.3940944077354078,NA,NA,NA,NA,NA
-0.7579495710049642,-0.46981506865477035,-0.48042723352812905,-1.3494893101028358,-0.9332040988919792,-0.8419550008333584,-1.119016246179859,-0.8456468811408305,-1.015397428310817,-0.43708021244047446,-0.9532751118910443,-1.1165020273785673,-0.35678244130080894,-0.15420808847383757,-0.8218132220994415,-0.45107964000924866,-0.808786316027378,-0.3653112384283656,-0.523208031588155,-0.8625774170355756,-1.0533315586438237,-0.7020704593733977,-0.13113066327094758,0.08052955180656549,-0.570377613587328,-1.0696093722902933,-0.8500009834001591,-1.399574924381186,-0.918554388985713,-0.11730284434472768,-0.45013030788412917,-1.0122822453829858,-0.9406323016229539,-0.5988213382130135,-0.3389325728882689,-0.7910273026986394,-0.9847934735049184,-1.0595724246419735,-0.6774603484679135,NA,-0.21283070665786333,-1.2651510873648624,-0.16766384931387748,-0.8117733367034101,-0.726771908241077,-0.2920607774100477,-0.3223466208290575,-0.45487731371900164,-0.4472438862681197,-0.5530359206729687,-0.4163362386309872,-1.219497906366835,-0.3524521367995639,NA,-0.3284110803739624,-0.025629894816230396,-0.49677655609788546,-1.3940944077354078,NA,NA,NA,NA,NA
-0.93341977361212225,-0.4859997646523437,-0.5137040581796478,-1.160418282482998,-0.34136210196058375,-0.1878842931470304,-1.1709840351406962,-1.2735408188395343,-0.9981165172436078,-0.7034606483998275,-1.0583397850543044,-1.3078369859023489,-0.5689248638989169,-0.3656239056689494,-1.0691250457596497,-0.34442137322814903,-0.5343712659205584,-0.9431599272031852,-0.5014187505382025,-0.8583612040902416,-0.24448519528406062,-0.819804753377453,-0.8939900499230901,-0.8061688963860376,-0.42529616711754603,-0.22124543691739812,-0.8005023377137988,-0.700369262035028,-0.26383511726962944,-0.9159385566401418,-0.8458635486220774,-0.6822208637754623,-0.9899290415485199,-0.7903961601282838,-0.8571921323020258,-0.25206062772310234,-1.0918015951830604,-0.951538093524161,-1.2483879067139316,NA,-0.42476125870434145,-0.4553789112661689,-0.9068312102550878,-0.17177295892867347,-0.20029966073333896,-0.28318284374102803,-1.113499140009325,-0.5503488985472179,-0.3954722688248933,-0.32839147175992167,-0.9125150428639376,-0.8504824766565654,-0.5777809207752871,NA,-0.10439577168873573,-0.44623421620686116,-0.28537376915369067,-0.6716964014140528,NA,NA,NA,NA,NA
-0.93341977361212225,-0.4859997646523437,-0.5137040581796478,-1.160418282482998,-0.34136210196058375,-0.1878842931470304,-1.1709840351406962,-1.2735408188395343,-0.9981165172436078,-0.7034606483998275,-1.0583397850543044,-1.3078369859023489,-0.5689248638989169,-0.3656239056689494,-1.0691250457596497,-0.34442137322814903,-0.5343712659205584,-0.9431599272031852,-0.5014187505382025,-0.8583612040902416,-0.24448519528406062,-0.819804753377453,-0.8939900499230901,-0.8061688963860376,-0.42529616711754603,-0.22124543691739812,-0.8005023377137988,-0.700369262035028,-0.26383511726962944,-0.9159385566401418,-0.8458635486220774,-0.6822208637754623,-0.9899290415485199,-0.7903961601282838,-0.8571921323020258,-0.25206062772310234,-1.0918015951830604,-0.951538093524161,-1.2483879067139316,NA,-0.42476125870434145,-0.4553789112661689,-0.9068312102550878,-0.17177295892867347,-0.20029966073333896,-0.28318284374102803,-1.113499140009325,-0.5503488985472179,-0.3954722688248933,-0.32839147175992167,-0.9125150428639376,-0.8504824766565654,-0.5777809207752871,NA,-0.10439577168873573,-0.44623421620686116,-0.28537376915369067,-0.6716964014140528,NA,NA,NA,NA,NA
